Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2002,Ricky Williams\WillRi01,RB,23,3,Texas Tech,College Stats,5-7,190,4.47,32.5,19,110,,,
2,2002,Mike Williams\WillMi22,OT,22,27,Texas,College Stats,6-6,375,5.30,30.0,29,102,,,Buffalo Bills / 1st / 4th pick / 2002
3,2002,Brian Westbrook\WestBr00,RB,22,80,Villanova,,5-8,200,4.57,37.0,26,118,7.09,,Philadelphia Eagles / 3rd / 91st pick / 2002
4,2002,Jonathan Wells\WellJo00,RB,22,10,Ohio St.,College Stats,6-1,243,4.52,,,,,,Houston Texans / 4th / 99th pick / 2002
5,2002,Fred Weary\WearFr21,C,24,20,Tennessee,,6-4,308,5.37,32.0,34,104,7.68,4.63,Houston Texans / 3rd / 66th pick / 2002
6,2002,Reggie Coleman,OT,,,Tennessee,,6-5,301,5.23,29.0,,103,7.84,4.88,Washington Redskins / 6th / 192nd pick / 2002
7,2002,Langston Walker\WalkLa20,OT,22,36,California,,6-8,344,5.26,28.5,21,102,8.09,4.95,Oakland Raiders / 2nd / 53rd pick / 2002
8,2002,Javon Walker\WalkJa00,WR,23,42,Florida St.,College Stats,6-3,210,4.38,39.5,,128,6.86,4.05,Green Bay Packers / 1st / 20th pick / 2002
9,2002,Kurt Vollers\VollKu20,OT,22,6,Notre Dame,,6-7,321,5.36,30.5,30,,,,
10,2002,Chester Taylor\TaylCh01,RB,22,47,Toledo,College Stats,5-11,213,4.58,33.0,22,114,,,Baltimore Ravens / 6th / 207th pick / 2002
11,2002,Aaron Lockett,WR,,,Kansas St.,College Stats,5-7,155,4.31,35.0,,119,6.84,4.11,Tampa Bay Buccaneers / 7th / 254th pick / 2002
12,2002,Tracey Wistrom,TE,,,Nebraska,College Stats,6-4,245,4.92,33.5,17,116,7.09,4.10,Tampa Bay Buccaneers / 7th / 250th pick / 2002
13,2002,Jerramy Stevens\StevJe00,TE,22,20,Washington,College Stats,6-7,265,4.77,,,,,,Seattle Seahawks / 1st / 28th pick / 2002
14,2002,Travis Stephens\StepTr01,RB,23,0,Tennessee,College Stats,5-8,194,4.60,32.0,15,121,,,Tampa Bay Buccaneers / 4th / 119th pick / 2002
15,2002,Donte' Stallworth\StalDo00,WR,21,45,Tennessee,College Stats,6-0,197,4.22,,,,,,New Orleans Saints / 1st / 13th pick / 2002
16,2002,Charles Stackhouse\StacCh00,FB,21,1,Mississippi,College Stats,6-2,252,4.93,29.0,20,111,7.63,4.53,
17,2002,Kendall Simmons\SimmKe20,OG,22,42,Auburn,,6-3,311,5.30,28.5,24,98,7.84,4.71,Pittsburgh Steelers / 1st / 30th pick / 2002
18,2002,Jeremy Shockey\ShocJe00,TE,21,59,Miami (FL),College Stats,6-5,255,4.64,,,,,,New York Giants / 1st / 14th pick / 2002
19,2002,Brandon Doman,QB,,,BYU,College Stats,6-2,210,4.81,32.5,,106,6.90,4.08,San Francisco 49ers / 5th / 163rd pick / 2002
20,2002,Matt Anderle,OT,,,Minnesota,,6-6,327,5.50,29.0,26,104,7.99,4.80,San Diego Chargers / 6th / 178th pick / 2002
21,2002,Terry Charles,WR,,,Portland St.,,6-3,207,4.52,36.5,,122,7.02,4.09,San Diego Chargers / 5th / 142nd pick / 2002
22,2002,Josh Scobey\ScobJo00,RB,22,3,Kansas St.,College Stats,5-11,218,4.42,40.5,21,124,6.96,3.93,Arizona Cardinals / 6th / 185th pick / 2002
23,2002,Matt Schobel\SchoMa00,TE,23,12,TCU,College Stats,6-5,263,,34.5,,,,,Cincinnati Bengals / 3rd / 67th pick / 2002
24,2002,Jake Schifino\SchiJa20,WR,22,0,Akron,College Stats,6-1,200,4.49,,,,,,Tennessee Titans / 5th / 151st pick / 2002
25,2002,Cliff Russell\RussCl00,WR,23,0,Utah,College Stats,5-11,185,4.36,,,,,,Washington Redskins / 3rd / 87th pick / 2002
26,2002,Robert Royal\RoyaRo00,TE,22,9,LSU,College Stats,6-5,253,4.97,31.0,14,114,7.37,4.27,Washington Redskins / 5th / 160th pick / 2002
27,2002,Victor Rogers\RogeVi20,OG,23,0,Colorado,,6-6,331,5.57,25.0,20,93,9.00,5.16,Detroit Lions / 7th / 259th pick / 2002
28,2002,Josh Reed\ReedJo01,WR,21,33,LSU,College Stats,5-10,210,4.54,,,,,,Buffalo Bills / 2nd / 36th pick / 2002
29,2002,Antwaan Randle El\RandAn00,WR,22,49,Indiana,College Stats,5-10,191,4.49,,,,,,Pittsburgh Steelers / 2nd / 62nd pick / 2002
30,2002,Patrick Ramsey\RamsPa00,QB,23,15,Tulane,College Stats,6-2,219,5.24,33.5,,112,7.12,4.09,Washington Redskins / 1st / 32nd pick / 2002
31,2002,Eric Crouch,RB,,,Nebraska,College Stats,6-0,195,4.47,38.0,,112,6.87,4.02,St. Louis Rams / 3rd / 95th pick / 2002
32,2002,Mike Pucillo\PuciMi20,OG,22,9,Auburn,,6-4,317,5.31,28.0,26,,,,Buffalo Bills / 7th / 215th pick / 2002
33,2002,Clinton Portis\PortCl00,RB,20,82,Miami (FL),College Stats,5-11,204,4.42,,,,,,Denver Broncos / 2nd / 51st pick / 2002
34,2002,Chester Pitts\PittCh20,OT,22,53,San Diego St.,,6-4,320,5.22,30.0,,106,7.84,4.81,Houston Texans / 2nd / 50th pick / 2002
35,2002,Freddie Milons,WR,,,Alabama,College Stats,5-10,190,4.51,33.5,,117,6.84,,Philadelphia Eagles / 5th / 162nd pick / 2002
36,2002,Scott Peters\PeteSc20,C,23,1,Arizona St.,,6-3,300,5.07,33.5,36,97,7.68,4.69,Philadelphia Eagles / 4th / 124th pick / 2002
37,2002,Adrian Peterson\PeteAd00,RB,22,12,Georgia Southern,,5-10,214,4.68,34.0,14,119,7.59,4.60,Chicago Bears / 6th / 199th pick / 2002
38,2002,Justin Peelle\PeelJu00,TE,22,9,Oregon,College Stats,6-4,255,4.75,29.0,21,110,7.34,4.29,San Diego Chargers / 4th / 103rd pick / 2002
39,2002,John Owens\OwenJo00,TE,22,0,Notre Dame,College Stats,6-3,265,4.77,38.5,21,117,,,Detroit Lions / 5th / 138th pick / 2002
40,2002,J.T. O'Sullivan\OSulJ.00,QB,22,6,California-Davis,,6-2,223,4.88,29.0,,107,7.46,4.28,New Orleans Saints / 6th / 186th pick / 2002
41,2002,Josh Norman\NormJo00,TE,21,3,Oklahoma,College Stats,6-2,236,4.65,32.0,18,115,,,
42,2002,Kendall Newson\NewsKe00,WR,22,1,Middle Tennessee State,College Stats,6-2,200,4.69,33.5,,117,6.87,4.27,Jacksonville Jaguars / 7th / 222nd pick / 2002
43,2002,Larry Ned\NedxLa00,RB,23,0,San Diego St.,College Stats,5-11,219,4.62,34.5,15,120,7.12,,Oakland Raiders / 6th / 197th pick / 2002
44,2002,Maurice Morris\MorrMa00,RB,22,35,Oregon,College Stats,5-11,208,4.53,38.5,23,119,,,Seattle Seahawks / 2nd / 54th pick / 2002
45,2002,Qasim Mitchell\MitcQa20,OG,22,5,North Carolina A&T,,6-5,335,5.28,26.0,22,,8.07,4.94,
46,2002,Terrence Metcalf\MetcTe20,OT,24,11,Mississippi,College Stats,6-3,318,5.31,,28,,,,Chicago Bears / 3rd / 93rd pick / 2002
47,2002,Randy McMichael\McMiRa01,TE,22,39,Georgia,College Stats,6-3,247,4.88,29.5,18,112,7.58,4.28,Miami Dolphins / 4th / 114th pick / 2002
48,2002,Seth McKinney\McKiSe20,C,22,23,Texas A&M,,6-3,300,4.97,33.5,23,105,7.36,4.51,Miami Dolphins / 3rd / 90th pick / 2002
49,2002,Bryant McKinnie\McKiBr21,OT,22,82,Miami (FL),College Stats,6-8,343,5.13,,,,,,Minnesota Vikings / 1st / 7th pick / 2002
50,2002,Josh McCown\McCoJo01,QB,22,47,SMU,College Stats,6-4,221,4.59,38.5,,120,6.85,3.90,Arizona Cardinals / 3rd / 81st pick / 2002
51,2002,Eric McCoo\McCoEr00,RB,21,1,Penn St.,College Stats,5-10,214,4.55,32.5,14,112,,,
52,2002,Jason McAddley\McAdJa00,WR,22,4,Alabama,College Stats,6-1,203,4.47,36.5,,123,6.83,4.09,Arizona Cardinals / 5th / 149th pick / 2002
53,2002,Lee Mays\MaysLe00,WR,23,1,Texas-El Paso,College Stats,6-1,190,4.55,32.5,,119,7.08,4.17,Pittsburgh Steelers / 6th / 202nd pick / 2002
54,2002,Jamar Martin\MartJa01,FB,21,0,Ohio St.,College Stats,5-11,245,4.89,32.0,23,108,7.53,4.34,Dallas Cowboys / 4th / 129th pick / 2002
55,2002,Chris Luzar\LuzaCh00,TE,23,0,Virginia,College Stats,6-7,270,4.76,32.5,22,115,6.84,4.17,Jacksonville Jaguars / 4th / 118th pick / 2002
56,2002,Ashley Lelie\LeliAs00,WR,22,39,Hawaii,College Stats,6-3,197,4.49,,,,,,Denver Broncos / 1st / 19th pick / 2002
57,2002,Kyle Kosier\KosiKy20,OT,23,64,Arizona St.,,6-5,293,5.09,29.5,24,108,7.34,4.49,San Francisco 49ers / 7th / 248th pick / 2002
58,2002,Kurt Kittner\KittKu00,QB,22,1,Illinois,College Stats,6-2,221,4.86,27.0,,100,7.34,4.50,Atlanta Falcons / 5th / 158th pick / 2002
59,2002,Terry Jones\JoneTe00,TE,22,5,Alabama,College Stats,6-3,265,4.79,33.5,20,111,7.43,4.43,Baltimore Ravens / 5th / 155th pick / 2002
60,2002,Levi Jones\JoneLe23,OT,22,54,Arizona St.,,6-5,304,5.21,,,103,,,Cincinnati Bengals / 1st / 10th pick / 2002
61,2002,Daryl Jones\JoneDa02,WR,23,1,Miami (FL),College Stats,5-9,180,4.35,,,,,,New York Giants / 7th / 226th pick / 2002
62,2002,Doug Jolley\JollDo00,TE,23,12,BYU,College Stats,6-4,251,4.60,38.0,18,117,6.90,4.18,Oakland Raiders / 2nd / 55th pick / 2002
63,2002,Ron Johnson\JohnRo03,WR,21,1,Minnesota,College Stats,6-2,225,4.70,34.5,,118,7.12,4.02,Baltimore Ravens / 4th / 123rd pick / 2002
