Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2020,Charlie Woerner\WoerCh00,TE,,,Georgia,College Stats,6-5,244,4.78,34.5,21,120,7.18,4.46,
2,2020,Tristan Wirfs\WirfTr00,OL,,,Iowa,College Stats,6-5,320,4.85,36.5,24,121,7.65,4.68,
3,2020,Isaiah Wilson\WilsIs00,OL,,,Georgia,College Stats,6-6,350,5.32,29.0,26,110,8.26,5.07,
4,2020,Jedrick Wills\WillJe04,OL,,,Alabama,College Stats,6-4,312,5.05,34.5,,113,,4.84,
5,2020,Darryl Williams\WillDa13,OL,,,Mississippi St.,College Stats,6-2,304,5.23,25.5,23,102,7.88,4.76,
6,2020,Mitchell Wilcox\WilcMi00,TE,,,South Florida,College Stats,6-3,247,4.88,31.0,,112,7.37,4.43,
7,2020,Cody White\WhitCo04,WR,,,Michigan St.,College Stats,6-3,217,4.66,35.5,,120,7.19,4.52,
8,2020,Ke'Shawn Vaughn\VaugKe00,RB,,,Vanderbilt,College Stats,5-10,214,4.51,32.0,,117,,,
9,2020,Calvin Throckmorton\ThroCa00,OL,,,Oregon,College Stats,6-5,317,5.57,27.0,23,97,8.07,4.98,
10,2020,Jeff Thomas\ThomJe04,WR,,,Miami,College Stats,5-9,170,4.45,36.5,,125,,,
11,2020,Andrew Thomas\ThomAn02,OL,,,Georgia,College Stats,6-5,315,5.22,30.5,21,109,7.58,4.66,
12,2020,Patrick Taylor\TaylPa00,RB,,,Memphis,College Stats,6-1,217,4.57,34.0,15,123,,4.34,
13,2020,Jonathan Taylor\TaylJo02,RB,,,Wisconsin,College Stats,5-10,226,4.39,36.0,17,123,7.01,4.24,
14,2020,J.J. Taylor\TaylJ.00,RB,,,Arizona,College Stats,5-5,185,4.61,34.5,19,118,7.00,4.15,
15,2020,Tua Tagovailoa\TagoTu00,QB,,,Alabama,College Stats,6-0,217,,,,,,,
16,2020,D'Andre Swift\SwifDA00,RB,,,Georgia,College Stats,5-8,212,4.48,35.5,,121,,,
17,2020,Freddie Swain\SwaiFr00,WR,,,Florida,College Stats,6-0,197,4.46,36.5,16,124,7.05,4.26,
18,2020,Stephen Sullivan\SullSt00,TE,,,LSU,College Stats,6-5,248,4.66,36.5,,123,7.51,4.62,
19,2020,Darrell Stewart\StewDa01,WR,,,Michigan St.,College Stats,6-0,212,,35.0,15,117,,,
20,2020,Simon Stepaniak\StepSi00,OL,,,Indiana,College Stats,6-4,313,,,37,,,,
21,2020,Logan Stenberg\StenLo00,OL,,,Kentucky,College Stats,6-6,317,5.30,26.0,,104,8.00,4.83,
22,2020,Terence Steele\SteeTe00,OL,,,Texas Tech,College Stats,6-6,312,5.03,27.5,27,106,,5.08,
23,2020,John Simpson\SimpJo00,OL,,,Clemson,College Stats,6-4,321,5.24,30.0,34,107,8.03,4.87,
24,2020,Laviska Shenault Jr.\ShenLa00,WR,,,Colorado,College Stats,6-1,227,4.58,,17,,,,
25,2020,Jon Runyan\RunyJo00,OL,,,Michigan,College Stats,6-4,306,5.08,30.5,24,107,7.57,4.69,
26,2020,Cesar Ruiz\RuizCe00,OL,,,Michigan,College Stats,6-3,307,5.08,33.0,28,113,7.91,4.64,
27,2020,Henry Ruggs III\RuggHe00,WR,,,Alabama,College Stats,5-11,188,4.27,42.0,,131,,,
28,2020,Kendrick Rogers\RogeKe00,WR,,,Texas A&M,College Stats,6-4,208,4.51,35.5,17,124,7.13,4.48,
29,2020,Joe Reed\ReedJo03,WR,,,Virginia,College Stats,6-0,224,4.47,38.0,21,123,,,
30,2020,Jalen Reagor\ReagJa00,WR,,,TCU,College Stats,5-11,206,4.47,42.0,17,138,7.31,4.46,
31,2020,James Proche\ProcJa00,WR,,,SMU,College Stats,5-11,201,,34.5,20,,7.27,4.40,
32,2020,Michael Pittman\PittMi01,WR,,,USC,College Stats,6-4,223,4.52,36.5,13,121,6.96,4.14,
33,2020,Danny Pinter\PintDa00,OL,,,Ball St.,College Stats,6-4,306,4.91,29.5,24,110,7.76,4.62,
34,2020,Jared Pinkney\PinkJa01,TE,,,Vanderbilt,College Stats,6-4,257,4.96,,23,,,,
35,2020,Tyre Phillips\PhilTy00,OL,,,Mississippi St.,College Stats,6-5,331,5.37,25.0,22,93,8.17,5.11,
36,2020,Scottie Phillips\PhilSc00,RB,,,Mississippi,College Stats,5-8,209,4.56,30.0,29,114,7.40,4.53,
37,2020,Malcolm Perry\PerrMa00,WR,,,Navy,College Stats,5-9,186,4.63,36.0,10,122,7.12,4.31,
38,2020,Donovan Peoples-Jones\PeopDo00,WR,,,Michigan,College Stats,6-2,212,4.48,44.5,,139,,,
39,2020,Matt Peart\PearMa00,OL,,,Connecticut,College Stats,6-7,318,5.06,30.0,26,113,8.01,4.92,
40,2020,Shea Patterson\PattSh00,QB,,,Michigan,College Stats,6-1,212,4.71,31.0,,116,7.14,4.50,
41,2020,Dezmon Patmon\PatmDe00,WR,,,Washington St.,College Stats,6-4,225,4.48,36.0,15,132,7.28,4.38,
42,2020,Colby Parkinson\ParkCo02,TE,,,Stanford,College Stats,6-7,252,4.77,32.5,18,109,7.15,4.46,
43,2020,K.J. Osborn\OsboK.00,WR,,,Miami,College Stats,5-11,203,4.48,37.5,18,123,7.00,4.35,
44,2020,Sewo Olonilua\OlonSe00,RB,,,TCU,College Stats,6-3,232,4.66,36.0,25,123,,4.28,
45,2020,Albert Okwuegbunam\OkwuAl00,TE,,,Missouri,College Stats,6-5,258,4.49,,,,,,
