Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
40,2014,Keith Reaser\ReasKe00,CB,22,2,Florida Atlantic,College Stats,5-11,189,4.43,,22,,,,San Francisco 49ers / 5th / 170th pick / 2014
41,2014,Kaleb Ramsey\RamsKa00,DT,24,,Boston Col.,College Stats,6-3,293,,,36,,,,San Francisco 49ers / 7th / 243rd pick / 2014
42,2014,Kelcy Quarles\QuarKe01,DT,22,0,South Carolina,College Stats,6-4,297,5.03,23.5,27,102,,,
43,2014,Loucheiz Purifoy\PuriLo00,CB,,,Florida,College Stats,5-11,190,4.61,35.5,6,120,,,
44,2014,Calvin Pryor\PryoCa00,FS,21,15,Louisville,College Stats,5-11,207,4.58,34.5,18,116,,,New York Jets / 1st / 18th pick / 2014
45,2014,Jabari Price\PricJa00,CB,20,1,North Carolina,College Stats,5-11,200,4.45,,16,,7.04,4.30,Minnesota Vikings / 7th / 225th pick / 2014
46,2014,Ronald Powell\PoweRo01,OLB,22,1,Florida,College Stats,6-3,237,4.65,35.5,21,114,,,New Orleans Saints / 5th / 169th pick / 2014
47,2014,Kevin Pierre-Louis\PierKe00,OLB,22,8,Boston Col.,College Stats,6-0,232,4.51,39.0,28,128,6.92,4.02,Seattle Seahawks / 4th / 132nd pick / 2014
48,2014,Tenny Palepoi\PaleTe00,DT,23,4,Utah,College Stats,6-1,298,5.10,30.5,31,111,7.67,4.53,
49,2014,Jeoffrey Pagan\PagaJe00,DE,20,1,Alabama,College Stats,6-3,310,4.92,,,,,,Houston Texans / 6th / 177th pick / 2014
50,2014,Louis Nix III\NixILo00,DT,22,0,Notre Dame,College Stats,6-2,331,5.32,25.5,,97,8.29,4.94,Houston Texans / 3rd / 83rd pick / 2014
51,2014,Jonathan Newsome\NewsJo00,OLB,23,4,Ball St.,College Stats,6-3,247,4.73,34.0,21,117,7.31,4.63,Indianapolis Colts / 5th / 166th pick / 2014
52,2014,Trent Murphy\MurpTr00,DE,23,31,Stanford,College Stats,6-5,250,4.86,35.5,19,118,6.78,4.20,Washington Redskins / 2nd / 47th pick / 2014
53,2014,C.J. Mosley\MoslC.00,ILB,21,67,Alabama,College Stats,6-2,234,4.65,35.0,,118,7.30,4.40,Baltimore Ravens / 1st / 17th pick / 2014
54,2014,James Morris\MorrJa01,ILB,22,0,Iowa,College Stats,6-1,241,4.80,34.5,18,117,6.94,4.36,
55,2014,Zach Moore\MoorZa00,DE,23,3,Concordia (MN),,6-5,269,4.84,33.5,23,123,7.41,4.46,New England Patriots / 6th / 198th pick / 2014
56,2014,Terrance Mitchell\MitcTe00,CB,21,9,Oregon,College Stats,5-11,192,4.63,34.0,,117,6.57,4.00,Dallas Cowboys / 7th / 254th pick / 2014
57,2014,Tevin Mims\MimsTe00,DE,,,South Florida,College Stats,6-4,260,4.95,27.5,17,109,,,
58,2014,Keith McGill\McGiKe00,CB,24,4,Utah,College Stats,6-3,211,4.51,39.0,,129,7.29,4.18,Oakland Raiders / 4th / 116th pick / 2014
59,2014,Dexter McDougle\McDoDe00,CB,22,2,Maryland,College Stats,5-10,196,4.47,,,,,,New York Jets / 3rd / 80th pick / 2014
