Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2018,Isaiah Wynn\WynnIs00,OG,21,4,Georgia,College Stats,6-3,313,,,,,,,New England Patriots / 1st / 23rd pick / 2018
2,2018,Logan Woodside\WoodLo00,QB,23,,Toledo,College Stats,6-1,213,4.79,31.5,,103,6.94,4.15,Cincinnati Bengals / 7th / 249th pick / 2018
3,2018,Javon Wims\WimsJa00,WR,23,1,Georgia,College Stats,6-3,215,4.53,33.5,,113,7.00,,Chicago Bears / 7th / 224th pick / 2018
4,2018,Cedrick Wilson\WilsCe01,WR,22,0,Boise St.,College Stats,6-2,197,4.55,37.0,9,121,6.89,4.23,Dallas Cowboys / 6th / 208th pick / 2018
5,2018,Darrel Williams\WillDa10,RB,22,4,LSU,College Stats,6-0,225,4.72,32.0,22,109,,4.21,
6,2018,Connor Williams\WillCo00,OT,20,9,Texas,College Stats,6-5,296,5.05,34.0,26,112,7.83,4.63,Dallas Cowboys / 2nd / 50th pick / 2018
7,2018,Jordan Wilkins\WilkJo01,RB,23,5,Mississippi,College Stats,6-1,216,,36.0,16,117,,4.27,Indianapolis Colts / 5th / 169th pick / 2018
8,2018,Mike White\WhitMi01,QB,22,,Western Kentucky,,6-5,224,5.09,27.0,,96,7.40,4.40,Dallas Cowboys / 5th / 171st pick / 2018
9,2018,Sean Welsh\WelsSe00,C,23,,Iowa,College Stats,6-3,306,5.43,25.0,20,103,7.90,4.81,
10,2018,Toby Weathersby\WeatTo00,OT,21,,LSU,College Stats,6-4,317,5.34,24.5,28,106,8.55,5.38,
11,2018,Jester Weah\WeahJe00,WR,23,,Pittsburgh,College Stats,6-2,211,4.43,38.0,15,129,7.24,4.41,
12,2018,James Washington\WashJa00,WR,21,8,Oklahoma St.,College Stats,5-11,213,4.54,34.5,14,120,7.11,4.32,Pittsburgh Steelers / 2nd / 60th pick / 2018
13,2018,Mark Walton\WaltMa00,RB,20,3,Miami (FL),College Stats,5-10,202,4.60,31.5,18,118,,,Cincinnati Bengals / 4th / 112th pick / 2018
14,2018,Akrum Wadley\WadlAk00,RB,22,,Iowa,College Stats,5-10,194,4.54,32.0,12,,,,
15,2018,Marquez Valdes-Scantling\ValdMa00,WR,23,8,South Florida,College Stats,6-4,206,4.37,30.5,15,124,,,Green Bay Packers / 5th / 174th pick / 2018
16,2018,Salesi Uhatafe\UhatSa00,OG,23,,Utah,College Stats,6-5,310,5.40,28.0,,109,7.70,4.90,
17,2018,Jordan Thomas\ThomJo05,TE,21,2,Mississippi St.,,6-5,265,4.74,27.0,16,111,7.50,4.75,Houston Texans / 6th / 211th pick / 2018
18,2018,Ian Thomas\ThomIa00,TE,21,4,Indiana,College Stats,6-4,259,4.74,36.0,,123,7.15,4.20,Carolina Panthers / 4th / 101st pick / 2018
19,2018,Wyatt Teller\TellWy00,OG,23,6,Virginia Tech,College Stats,6-4,314,5.24,29.0,30,114,7.45,4.84,Buffalo Bills / 5th / 166th pick / 2018
20,2018,Rod Taylor\TaylRo01,OT,23,,Mississippi,College Stats,6-3,320,5.24,30.5,,99,,,Cincinnati Bengals / 7th / 252nd pick / 2018
21,2018,Auden Tate\TateAu00,WR,21,4,Florida St.,College Stats,6-5,228,4.68,31.0,,112,,,Cincinnati Bengals / 7th / 253rd pick / 2018
22,2018,Courtland Sutton\SuttCo00,WR,22,14,SMU,College Stats,6-3,218,4.54,35.5,18,124,6.57,4.11,Denver Broncos / 2nd / 40th pick / 2018
23,2018,Equanimeous St. brown\St.BEq00,WR,21,2,Notre Dame,College Stats,6-5,214,4.48,,20,,,,Green Bay Packers / 6th / 207th pick / 2018
24,2018,Durham Smythe\SmytDu00,TE,22,0,Notre Dame,College Stats,6-5,253,4.81,31.0,18,110,7.17,4.23,Miami Dolphins / 4th / 123rd pick / 2018
25,2018,Braden Smith\SmitBr06,OG,21,13,Auburn,College Stats,6-6,315,5.22,33.5,35,113,,4.77,Indianapolis Colts / 2nd / 37th pick / 2018
26,2018,Coleman Shelton\ShelCo00,C,22,1,Washington,College Stats,6-3,292,5.24,26.5,,110,7.62,4.59,
27,2018,Greg Senat\SenaGr00,OT,23,,Wagner,,6-6,302,5.38,26.0,19,106,7.41,4.71,Baltimore Ravens / 6th / 212th pick / 2018
28,2018,Jaleel Scott\ScotJa02,WR,23,0,New Mexico St.,College Stats,6-5,218,4.56,34.5,16,124,7.20,4.40,Baltimore Ravens / 4th / 132nd pick / 2018
