Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2020,Jabari Zuniga\ZuniJa00,DL,,,Florida,College Stats,6-3,264,4.64,33.0,29,127,,,
2,2020,Chase Young\YounCh04,DL,,,Ohio St.,College Stats,6-5,264,,,,,,,
3,2020,David Woodward\WoodDa04,LB,,,Utah St.,College Stats,6-2,230,4.79,33.5,16,114,7.34,4.37,
4,2020,D.J. Wonnum\WonnD.00,DL,,,South Carolina,College Stats,6-5,258,4.73,34.5,20,123,7.25,4.44,
5,2020,Antoine Winfield Jr.\WinfAn00,S,,,Minnesota,College Stats,5-9,203,4.45,36.0,,124,,,
6,2020,Logan Wilson\WilsLo00,LB,,,Wyoming,College Stats,6-2,241,4.63,32.0,21,121,7.07,4.27,
7,2020,Raequan Williams\WillRa02,DL,,,Michigan St.,College Stats,6-4,308,5.04,25.5,17,101,7.72,4.78,
8,2020,Kenny Willekes\WillKe06,DL,,,Michigan St.,College Stats,6-3,264,4.87,32.5,32,119,7.39,,
9,2020,Evan Weaver\WeavEv00,LB,,,California,College Stats,6-2,237,4.76,32.0,15,117,7.02,4.21,
10,2020,Curtis Weaver\WeavCu00,LB,,,Boise St.,College Stats,6-2,265,,32.5,,116,7.00,4.27,
11,2020,Broderick Washington\WashBr01,DL,,,Texas Tech,College Stats,6-2,305,,,23,,,,
12,2020,K'Von Wallace\WallKV00,S,,,Clemson,College Stats,5-11,206,4.53,38.0,18,133,6.76,4.15,
13,2020,Mykal Walker\WalkMy00,LB,,,Fresno St.,College Stats,6-3,230,4.65,33.0,20,122,7.09,4.25,
14,2020,Kindle Vildor\VildKi00,CB,,,Georgia Southern,College Stats,5-10,191,4.44,39.5,22,133,7.14,4.28,
15,2020,Josh Uche\UcheJo00,LB,,,Michigan,College Stats,6-1,245,,,18,,,,
16,2020,Casey Toohill\ToohCa00,LB,,,Stanford,College Stats,6-4,250,4.62,39.0,17,126,7.08,4.21,
17,2020,Daniel Thomas\ThomDa07,S,,,Auburn,College Stats,5-10,215,4.51,37.0,24,125,,,
18,2020,A.J. Terrell\TerrA.00,CB,,,Clemson,College Stats,6-1,195,4.42,34.5,15,129,,,
19,2020,Davion Taylor\TaylDa01,LB,,,Colorado,College Stats,6-0,228,4.49,35.0,21,127,6.96,4.26,
20,2020,Darrell Taylor\TaylDa00,LB,,,Tennessee,College Stats,6-4,267,,,,,,,
21,2020,Jason Strowbridge\StroJa02,DL,,,North Carolina,College Stats,6-4,275,4.89,31.0,26,113,7.45,4.37,
22,2020,Justin Strnad\StrnJu00,LB,,,Wake Forest,College Stats,6-3,238,4.74,29.0,,113,,4.49,
23,2020,Geno Stone\StonGe00,S,,,Iowa,College Stats,5-10,207,4.62,33.5,12,116,,,
24,2020,L'Jarius Sneed\SneeLJ00,S,,,Louisiana Tech,College Stats,6-0,192,4.37,41.0,12,131,,,
25,2020,James Smith-Williams\SmitJa08,DL,,,North Carolina St.,College Stats,6-4,265,4.60,32.0,28,123,7.35,4.52,
26,2020,Isaiah Simmons\SimmIs00,LB,,,Clemson,College Stats,6-4,238,4.39,39.0,,132,,,
27,2020,Qaadir Sheppard\ShepQa00,DL,,,Mississippi,College Stats,6-3,261,4.83,31.5,28,115,,,
28,2020,Josiah Scott\ScotJo00,CB,,,Michigan St.,College Stats,5-9,185,4.42,,17,,,,
29,2020,Chapelle Russell\RussCh00,LB,,,Temple,College Stats,6-2,236,4.69,35.0,21,121,7.38,4.41,
30,2020,Alton Robinson\RobiAl03,DL,,,Syracuse,College Stats,6-3,264,4.69,35.5,25,119,7.32,4.32,
31,2020,Amik Robertson\RobeAm00,CB,,,Louisiana Tech,College Stats,5-8,187,,,,,,,
32,2020,Malcolm Roach\RoacMa00,DL,,,Texas,College Stats,6-2,297,4.84,30.0,20,114,,,
33,2020,Chauncey Rivers\RiveCh00,DL,,,Mississippi St.,College Stats,6-2,262,4.97,30.5,20,106,7.33,4.70,
34,2020,John Reid\ReidJo00,CB,,,Penn St.,College Stats,5-10,187,4.49,36.5,20,129,6.95,3.97,
35,2020,J.R. Reed\ReedJ.00,S,,,Georgia,College Stats,6-1,202,4.54,34.0,15,130,,,
36,2020,Patrick Queen\QueePa00,LB,,,LSU,College Stats,6-0,229,4.50,35.0,18,125,,,
37,2020,Shaquille Quarterman\QuarSh00,LB,,,Miami,College Stats,6-0,234,4.74,31.0,23,120,,,
38,2020,Troy Pride\PridTr00,CB,,,Notre Dame,College Stats,5-11,193,4.40,35.5,13,119,6.94,4.26,
39,2020,Michael Pinckney\PincMi00,LB,,,Miami,College Stats,5-11,235,,,,,,,
40,2020,James Pierre\PierJa00,CB,,,Florida Atlantic,College Stats,6-0,183,4.59,33.5,,123,7.02,,
41,2020,Jacob Phillips\PhilJa01,LB,,,LSU,College Stats,6-3,229,4.66,39.0,,126,7.38,4.33,
42,2020,John Penisini\PeniJo00,DL,,,Utah,College Stats,6-1,318,,25.5,23,,,4.93,
43,2020,Julian Okwara\OkwaJu00,DL,,,Notre Dame,College Stats,6-4,252,,,27,,,,
44,2020,Jeff Okudah\OkudJe00,CB,,,Ohio St.,College Stats,6-1,205,4.48,41.0,11,135,,,
